Receptors,IgG,TNP-4-BSA,TNP-26-BSA,Affinity (Ka)
FcgRIA,Control,7.75,9.5,0.0E+00
FcgRIA,IgG1,70,124.25,6.0E+07
FcgRIA,IgG2,51,94.75,0.0E+00
FcgRIA,IgG3,77.75,135,6.0E+07
FcgRIA,IgG4,61.75,106,3.0E+07
FcgRIIA-Arg,Control,10.25,11.25,0.0E+00
FcgRIIA-Arg,IgG1,62.25,176,3.0E+06
FcgRIIA-Arg,IgG2,20.75,73.75,1.0E+05
FcgRIIA-Arg,IgG3,132.75,283,9.0E+05
FcgRIIA-Arg,IgG4,30,99.5,2.0E+05
FcgRIIA-His,Control,7.5,11.5,0.0E+00
FcgRIIA-His,IgG1,282.5,506.75,5.0E+06
FcgRIIA-His,IgG2,181,298.5,4.0E+05
FcgRIIA-His,IgG3,288.75,542.5,9.0E+05
FcgRIIA-His,IgG4,115.5,365.25,2.0E+05
FcgRIIB,Control,7,12.75,0.0E+00
FcgRIIB,IgG1,37.5,217,1.0E+05
FcgRIIB,IgG2,17.25,98.25,2.0E+04
FcgRIIB,IgG3,97.75,275.5,2.0E+05
FcgRIIB,IgG4,27.75,134.5,2.0E+05
FcgRIIIA-Phe,Control,15.5,34.5,0.0E+00
FcgRIIIA-Phe,IgG1,359,679.5,1.0E+05
FcgRIIIA-Phe,IgG2,29.75,118.25,3.0E+04
FcgRIIIA-Phe,IgG3,435,767.5,8.0E+06
FcgRIIIA-Phe,IgG4,23.75,117.25,2.0E+05
FcgRIIIA-Val,Control,11.75,25.75,0.0E+00
FcgRIIIA-Val,IgG1,344.25,450.25,2.0E+05
FcgRIIIA-Val,IgG2,76,173.75,7.0E+04
FcgRIIIA-Val,IgG3,428.5,602.5,1.0E+07
FcgRIIIA-Val,IgG4,200.25,387.5,2.0E+05
